"Gender" "Age_group" "Region_n" "Cancer" "Cases" "Population" "i" "i_P" "i_LOCP" "LOCP_het"
"1" 1 1 1 1 11 207627 1 1 0 "NA"
"2" 2 1 1 1 15 192628 1 1 0 "NA"
"3" 1 2 1 1 10 175676 1 1 0 "NA"
"4" 2 2 1 1 11 177882 1 1 0 "NA"
"5" 1 3 1 1 10 120875 1 1 0 "NA"
"6" 2 3 1 1 12 125814 1 1 0 "NA"
"7" 1 4 1 1 15 55846 1 1 0 "NA"
"8" 2 4 1 1 11 77929 1 1 0 "NA"
"9" 1 5 1 1 11 3593 1 1 0 "NA"
"10" 2 5 1 1 15 10822 1 1 0 "NA"
"11" 1 1 2 1 10 244568 2 1 0 "NA"
"12" 2 1 2 1 13 226666 2 1 0 "NA"
"13" 1 2 2 1 105 208622 2 1 0 "NA"
"14" 2 2 2 1 24 202408 2 1 0 "NA"
"15" 1 3 2 1 271 123491 2 1 0 "NA"
"16" 2 3 2 1 34 133685 2 1 0 "NA"
"17" 1 4 2 1 288 76925 2 1 0 "NA"
"18" 2 4 2 1 40 103996 2 1 0 "NA"
"19" 1 5 2 1 26 5267 2 1 0 "NA"
"20" 2 5 2 1 11 11563 2 1 0 "NA"
"21" 1 1 3 1 43 1181438 3 1 0 "NA"
"22" 2 1 3 1 18 1107844 3 1 0 "NA"
"23" 1 2 3 1 498 976067 3 1 0 "NA"
"24" 2 2 3 1 217 983248 3 1 0 "NA"
"25" 1 3 3 1 1481 740320 3 1 0 "NA"
"26" 2 3 3 1 348 795457 3 1 0 "NA"
"27" 1 4 3 1 1129 326943 3 1 0 "NA"
"28" 2 4 3 1 253 425359 3 1 0 "NA"
"29" 1 5 3 1 51 19282 3 1 0 "NA"
"30" 2 5 3 1 11 44114 3 1 0 "NA"
"31" 1 1 4 1 11 493155 4 1 0 "NA"
"32" 2 1 4 1 15 432851 4 1 0 "NA"
"33" 1 2 4 1 220 349331 4 1 0 "NA"
"34" 2 2 4 1 56 333049 4 1 0 "NA"
"35" 1 3 4 1 502 198716 4 1 0 "NA"
"36" 2 3 4 1 77 211168 4 1 0 "NA"
"37" 1 4 4 1 341 86490 4 1 0 "NA"
"38" 2 4 4 1 64 121822 4 1 0 "NA"
"39" 1 5 4 1 24 5128 4 1 0 "NA"
"40" 2 5 4 1 10 11549 4 1 0 "NA"
"41" 1 1 5 1 11 91884 5 1 0 "NA"
"42" 2 1 5 1 10 84310 5 1 0 "NA"
"43" 1 2 5 1 49 96905 5 1 0 "NA"
"44" 2 2 5 1 19 86675 5 1 0 "NA"
"45" 1 3 5 1 138 66936 5 1 0 "NA"
"46" 2 3 5 1 13 66007 5 1 0 "NA"
"47" 1 4 5 1 160 47211 5 1 0 "NA"
"48" 2 4 5 1 23 61313 5 1 0 "NA"
"49" 1 5 5 1 13 4297 5 1 0 "NA"
"50" 2 5 5 1 12 9690 5 1 0 "NA"
"51" 1 1 6 1 14 397475 6 1 0 "NA"
"52" 2 1 6 1 15 383343 6 1 0 "NA"
"53" 1 2 6 1 251 368880 6 1 0 "NA"
"54" 2 2 6 1 57 352004 6 1 0 "NA"
"55" 1 3 6 1 672 223228 6 1 0 "NA"
"56" 2 3 6 1 62 240793 6 1 0 "NA"
"57" 1 4 6 1 669 124629 6 1 0 "NA"
"58" 2 4 6 1 75 184436 6 1 0 "NA"
"59" 1 5 6 1 31 7516 6 1 0 "NA"
"60" 2 5 6 1 11 19369 6 1 0 "NA"
"61" 1 1 7 1 116 3647244 7 1 0 "NA"
"62" 2 1 7 1 73 3469594 7 1 0 "NA"
"63" 1 2 7 1 1743 2755424 7 1 0 "NA"
"64" 2 2 7 1 640 2836958 7 1 0 "NA"
"65" 1 3 7 1 4477 1806834 7 1 0 "NA"
"66" 2 3 7 1 838 2063194 7 1 0 "NA"
"67" 1 4 7 1 3824 871645 7 1 0 "NA"
"68" 2 4 7 1 790 1365755 7 1 0 "NA"
